	#	;	+	-	*	/	%	<=	>=	<	>	==	!=	while	(	)	for	,	$	IDENTIFIER	int	IDENTIFIER	void	int	char	float	void	{	}	if	else	=	continue	break	return	number	CHAR	expression_statement	operator	iteration_statement	expression_profix	assignment_expression	PPT_declaration	PPT_declaration_class	PPT_variable_declaration	PPT_function_declaration	external_declaration	type_specifier	FTYPE_specifier	compound_statement	assignment_expression_list	selection_statement	start	statement	constant_expression	arithmetic_expression	declaration_init	function_declaration_suffix	function_declaration_list	assignment_expression_profix	declaration	declaration_assign	declaration_init_list	jump_statement	return_statement	function_definition	function_declaration	expression_list	assignment_operator	statement_list	function_expression	expression	primary_expression	
I0	r24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s4	 	 	s5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I3	 	 	 	I2	 	 	 	 	 	I1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I1	acc	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I2	r34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I28	 	r36	 	 	 	 	 	 	 	 	 	 	 	r36	 	 	r36	 	 	 	 	r36	 	r36	r36	r36	 	r36	r36	r36	 	 	r36	r36	r36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I29	 	r37	 	 	 	 	 	 	 	 	 	 	 	r37	 	 	r37	 	 	 	 	r37	 	r37	r37	r37	 	r37	r37	r37	 	 	r37	r37	r37	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I30	 	r38	 	 	 	 	 	 	 	 	 	 	 	r38	 	 	r38	 	 	 	 	r38	 	r38	r38	r38	 	r38	r38	r38	 	 	r38	r38	r38	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I31	 	r39	 	 	 	 	 	 	 	 	 	 	 	r39	 	 	r39	 	 	 	 	r39	 	r39	r39	r39	 	r39	r39	r39	 	 	r39	r39	r39	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I32	 	r40	 	 	 	 	 	 	 	 	 	 	 	r40	 	 	r40	 	 	 	 	r40	 	r40	r40	r40	 	r40	r40	r40	 	 	r40	r40	r40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I33	 	r41	 	 	 	 	 	 	 	 	 	 	 	r41	 	 	r41	 	 	 	 	r41	 	r41	r41	r41	 	r41	r41	r41	 	 	r41	r41	r41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I34	 	 	s55	s56	s57	s58	s59	 	 	 	 	 	 	 	s52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s54	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I53	 	 	 	 	
I35	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s61	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I60	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I36	 	r32	 	 	 	 	 	 	 	 	 	 	 	s37	 	 	s38	 	 	 	 	s34	 	s22	s23	s24	 	s36	r74	s39	 	 	s40	s41	s43	 	 	I27	 	I30	 	I45	 	 	 	 	 	I35	 	I31	I44	I29	 	I26	 	 	 	 	 	 	I32	 	 	I28	I42	 	 	 	 	I62	I33	 	 	
I37	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s63	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I38	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s64	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
